City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,saint-joseph,-21.3667,55.6167,27.48,79,78,4.19,RE,1680843245
341,kamenka,51.3223,42.7678,8.6,70,95,5.82,RU,1680843246
342,nagato,34.3833,131.2,14.38,54,86,6.06,JP,1680843247
343,burien,47.4704,-122.3468,10.21,90,100,5.14,US,1680843247
344,gusau,12.1628,6.6614,25.69,11,88,1.19,NG,1680843248
345,myaundzha,63.0494,147.1858,-13.87,68,39,1.5,RU,1680843248
346,artigas,-30.4,-56.4667,16.14,92,1,3.61,UY,1680843249
347,kudahuvadhoo,2.6708,72.8944,28.17,67,36,1.24,MV,1680843249
348,juneau,58.3019,-134.4197,4.0,97,100,5.66,US,1680843042
349,bure,10.7,37.0667,20.24,21,90,0.34,ET,1680843251
350,lata,40.1629,-8.3327,11.48,51,9,1.63,PT,1680843251
351,devonport,-41.1667,146.35,19.73,85,100,0.45,AU,1680842836
352,karpogory,64.0019,44.4451,-7.18,87,61,1.65,RU,1680843253
353,inta,66.0317,60.1659,-9.16,89,100,10.63,RU,1680843253
354,ajaccio,42.0,8.9167,4.03,81,0,3.09,FR,1680843254
355,nalut,30.3333,10.85,12.02,58,100,12.67,LY,1680843254
356,santa engracia,41.9406,-1.3245,9.43,74,2,1.79,ES,1680843255
357,cascais,38.6979,-9.4215,16.95,53,7,3.13,PT,1680843256
358,aksu,41.1231,80.2644,12.92,13,27,1.69,CN,1680843256
359,vysokogornyy,50.1167,139.15,0.51,86,100,2.36,RU,1680843257
360,grand gaube,-20.0064,57.6608,28.54,73,72,2.24,MU,1680843257
361,jiangyou,31.7667,104.7167,19.85,37,8,2.19,CN,1680843258
362,luau,-10.7073,22.2247,17.82,98,100,1.0,AO,1680843259
363,chodavaram,17.8333,82.95,31.91,43,26,1.53,IN,1680843260
364,asosa,10.0667,34.5333,22.75,16,65,2.11,ET,1680843260
